No,デフォ,種別,楽曲名,ﾕﾆｯﾄ,E,N,H,X,M,A,コンボ(EXP),コンボ(MAS),コンボ(APD),時間,BPM,MV,人数,配信日
161,10042,既,君色マリンスノウ,0_VS,9,14,19,28,31,-,1339,1415,-,2:32,202,原曲,-,2022/02/05
162,15015,既,愛して愛して愛して,5_25,5,12,16,25,28,-,0928,1173,-,2:10,115,2D/3D,3,2022/02/07
163,23007,書,Flyer!,3_VBS,9,12,18,24,29,30,0861,1083,1189,2:03,188,2D/3D,5,2022/02/16
164,21008,書,Peaky Peaky,1_L/n,6,12,18,25,28,-,0747,0855,-,1:46,132,2D,-,2022/02/18
165,10043,公,ジウダス,0_VS,7,12,18,25,28,-,0769,0898,-,1:43,198,-,-,2022/02/21
166,14013,既,ナンセンス文学,4_WxS,7,11,18,25,29,-,0856,1180,-,2:12,154,原曲/2D,-,2022/02/24
167,12016,既,心予報,2_MMJ,6,12,18,24,28,28,0909,1060,1318,2:14,143,原曲/2D,-,2022/03/02
168,11018,既,僕らまだアンダーグラウンド,1_L/n,7,12,18,25,28,-,0920,1035,-,2:02,148,原曲/2D,-,2022/03/04
169,10044,既,Miku,0_VS,6,12,17,24,29,-,0990,1106,-,2:36,128,3D,6,2022/03/09
170,22008,書,メタモリボン,2_MMJ,5,11,16,23,26,-,0580,0685,-,1:44,123,2D,-,2022/03/11
171,14014,既,いーあるふぁんくらぶ,4_WxS,6,12,17,24,28,26,0863,1002,1015,2:06,145,2D/3D,5,2022/03/14
172,13016,既,雨とペトラ,3_VBS,9,12,18,25,29,-,0976,1206,-,2:05,195,-,-,2022/03/22
173,25010,書,ノマド,5_25,5,11,16,23,26,-,0515,0592,-,1:32,090,3D,5,2022/03/28
174,10045,既,マトリョシカ,0_VS,9,13,18,25,30,-,0887,1104,-,1:46,205,原曲,-,2022/03/30
175,10046,既,ドーナツホール,0_VS,9,14,18,25,29,-,1046,1328,-,2:18,252,原曲,-,2022/03/31
176,10047,既,砂の惑星,0_VS,5,11,16,23,27,-,0873,1062,-,2:14,095,原曲,-,2022/04/01
177,10048,既,ルカルカ★ナイトフィーバー,0_VS,7,13,18,25,29,-,0950,1311,-,2:19,160,-,-,2022/04/02
178,10049,既,ピアノ×フォルテ×スキャンダル,0_VS,6,11,18,26,30,-,1042,1142,-,2:12,135,-,-,2022/04/03
179,10050,既,千年の独奏歌,0_VS,5,11,16,23,27,-,0791,0906,-,2:32,108,-,-,2022/04/04
180,24009,書,88☆彡,4_WxS,9,13,18,26,29,32,1088,1188,1388,2:07,176,2D,-,2022/04/11
181,10051,公,ONESELF,0_VS,7,14,18,27,30,-,1063,1163,-,2:09,170*,-,-,2022/04/15
182,13017,既,PaⅢ.SENSATION,3_VBS,8,12,17,24,29,-,1032,1244,-,2:14,180,2D/3D,4,2022/04/18
183,12017,既,ダーリンダンス,2_MMJ,7,12,17,25,30,-,0824,0912,-,1:43,153,2D,-,2022/04/25
184,21009,書,オーダーメイド,1_L/n,5,11,16,21,26,-,0480,0601,-,2:05,075,3D,5,2022/04/28
185,19001,書,アイデンティティ,9_oth,9,13,18,26,31,-,1196,1489,-,2:37,195,2D,-,2022/05/01
186,19002,書,青色絵具,9_oth,6,12,16,24,27,-,0846,1058,-,2:36,126,2D,-,2022/05/02
187,19003,書,コスモスパイス,9_oth,7,12,17,25,31,-,0849,1092,-,2:10,165,2D,-,2022/05/03
188,19004,書,徳川カップヌードル禁止令,9_oth,8,13,19,27,31,-,1065,1241,-,2:08,178,2D,-,2022/05/04
189,19005,書,サラマンダー,9_oth,8,12,18,25,30,-,1186,1454,-,2:38,172,2D,-,2022/05/05
190,22009,書,イフ,2_MMJ,6,12,18,23,27,-,0845,1062,-,2:10,135,2D/3D,5,2022/05/08
191,10052,既,ブラック★ロックシューター,0_VS,7,12,16,24,27,-,0695,0930,-,1:55,165,原曲,-,2022/05/10
192,15016,既,妄想感傷代償連盟,5_25,7,12,16,23,27,-,0908,0966,-,2:21,110,原曲/2D,-,2022/05/13
193,14015,既,リモコン,4_WxS,7,12,17,24,29,-,0903,1206,-,2:13,165,-,-,2022/05/16
194,23008,書,月光,3_VBS,5,12,18,25,29,-,1058,1159,-,2:37,109,2D,-,2022/05/20
195,14016,既,神のまにまに,4_WxS,6,13,18,25,29,-,0900,1111,-,2:13,135,3D,5,2022/05/30
196,23009,書,Awake Now,3_VBS,6,12,17,24,30,29,0723,0884,1049,2:02,117,2D,-,2022/05/31
197,13018,既,阿吽のビーツ,3_VBS,6,13,18,23,29,-,0802,0918,-,2:16,103,原曲,-,2022/06/06
198,25011,書,バグ,5_25,9,13,19,26,32,31,1101,1343,1490,2:08,186,2D,-,2022/06/10
199,14017,既,グッバイ宣言,4_WxS,7,12,17,26,30,27,1017,1259,1233,2:06,170,2D,-,2022/06/13
200,12018,既,ヴァンパイア,2_MMJ,7,12,18,25,30,27,1029,1299,1433,2:22,164,2D/3D,5,2022/06/20
201,10053,公,未完成讃歌,0_VS,8,12,18,27,31,-,1324,1585,-,2:36,188,-,-,2022/06/24
202,24010,書,星空のメロディー,4_WxS,5,11,16,24,27,-,0713,0821,-,1:48,113,3D,5,2022/06/28
203,10054,既,脳漿炸裂ガール,0_VS,7,13,18,28,32,-,1349,1500,-,2:24,155,原曲,-,2022/06/30
204,10055,既,ぼくらの16bit戦争,0_VS,6,13,17,28,33,-,1379,1521,-,2:28,122,原曲,-,2022/07/01
205,15017,既,メリュー,5_25,6,11,15,22,26,-,0632,0983,-,2:20,130,3D,3,2022/07/04
206,14018,既,エイリアンエイリアン,4_WxS,7,12,18,25,29,-,1208,1361,-,2:24,152,2D,-,2022/07/11
